"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",9,"Storm",21,TRUE,TRUE,80.1613291996,,0.32077931333242,0.249107600013838,0.889100502083329,1.76481208773771,FALSE
"Pre-growing season",9,"Agricultural",21,TRUE,TRUE,83.2950829901939,,0.335889751992623,0.408116977302815,0.892390945865373,1.41211948898956,FALSE
"Pre-growing season",9,"Site",21,TRUE,TRUE,83.004104964664,,0.355284886206141,0.491503220726474,0.887956721089522,1.15772801712295,FALSE
"Pre-growing season",9,"Full",21,TRUE,TRUE,82.4710807713671,,0.369247674595547,0.64999527530843,0.894135087796712,0.710731229707263,FALSE
"Pre-growing season",10,"Storm",21,FALSE,FALSE,66.7817733157391,,0.891713312044033,0.504862438464565,,0,TRUE
"Pre-growing season",10,"Agricultural",21,FALSE,FALSE,58.2407561523804,,0.148150825881299,0.671951606414387,0.986667636466801,1.16514175107161,FALSE
"Pre-growing season",10,"Site",21,FALSE,FALSE,63.9758996686143,,0.193535442330235,0.593692239132689,0.981480090925439,1.75594008456853,FALSE
"Pre-growing season",10,"Full",21,FALSE,FALSE,59.4191376839347,,0.144399456498324,0.688212604139876,0.987576816630827,1.13075331142463,FALSE
"Pre-growing season",11,"Storm",21,FALSE,FALSE,96.5976161383357,,1.813557566353,0.0854843601936419,,0,TRUE
"Pre-growing season",11,"Agricultural",21,FALSE,FALSE,95.9182320246004,,1.54690702158155,0.342826639337399,,0,TRUE
"Pre-growing season",11,"Site",21,FALSE,FALSE,97.0410008099856,,1.74757332248184,0.153586065650242,,0,TRUE
"Pre-growing season",11,"Full",21,FALSE,FALSE,97.5968327964542,,1.53511470526787,0.353130751010314,,0,TRUE
"Pre-growing season",12,"Storm",21,FALSE,FALSE,74.096959754031,,1.06136998100361,0.155432111449157,,0,TRUE
"Pre-growing season",12,"Agricultural",21,FALSE,FALSE,76.8751349689082,,0.982996612058438,0.279880852796118,,0,TRUE
"Pre-growing season",12,"Site",21,FALSE,FALSE,72.8138420500604,,0.981563117074167,0.282054947273106,,0,TRUE
"Pre-growing season",12,"Full",21,FALSE,FALSE,75.4616466743367,,0.90626534893877,0.39120450819345,,0,TRUE
"Pre-growing season",13,"Storm",21,FALSE,TRUE,91.865176913772,,1.62030320947851,0.280029578689545,,0,TRUE
"Pre-growing season",13,"Agricultural",21,FALSE,TRUE,96.88107733457,,1.58277930531736,0.314120772051901,,0,TRUE
"Pre-growing season",13,"Site",21,FALSE,TRUE,93.9507739496462,,1.54810604155866,0.344815789737002,,0,TRUE
"Pre-growing season",13,"Full",21,FALSE,TRUE,98.2545876352875,,1.48683081758303,0.397187059399005,,1.28972522141741e-16,TRUE
"Pre-growing season",14,"Storm",21,FALSE,TRUE,78.149179418188,,1.16887521198679,0.511132744345238,,0,TRUE
"Pre-growing season",14,"Agricultural",21,FALSE,TRUE,82.2427295591723,,0.621590751507036,0.53752941602488,0.773900635500441,0.695532549819611,FALSE
"Pre-growing season",14,"Site",21,FALSE,TRUE,76.8490941973515,,1.03029938378418,0.622236405030191,,0,TRUE
"Pre-growing season",14,"Full",21,FALSE,TRUE,79.9999783772408,,0.962725776751497,0.67095223952485,,0,TRUE
"Pre-growing season",15,"Storm",21,FALSE,TRUE,79.1299616480297,,1.19649193396628,0.396875095831333,,0,TRUE
"Pre-growing season",15,"Agricultural",21,FALSE,TRUE,78.7256431858007,,1.02727546100972,0.558904516584722,,1.29545875347878e-14,TRUE
"Pre-growing season",15,"Site",21,FALSE,TRUE,78.7768804021643,,1.07869189146311,0.51254163420711,,0,TRUE
"Pre-growing season",15,"Full",21,FALSE,TRUE,75.6856881522971,,0.868743066700066,0.686511340329627,,0,TRUE
"Pre-growing season",16,"Storm",21,FALSE,TRUE,85.8162322340481,,0.661432536282504,0.291582618979453,0.736658921811759,1.43838035646851,FALSE
"Pre-growing season",16,"Agricultural",21,FALSE,TRUE,87.8452672619142,,0.695305747169271,0.43797943330779,0.738511579373938,0.965116182147987,FALSE
"Pre-growing season",16,"Site",21,FALSE,TRUE,89.0767230264106,,0.654751742887636,0.322749471521384,0.745209593821346,1.37497446393221,FALSE
"Pre-growing season",16,"Full",21,FALSE,TRUE,87.7345927253885,,0.58467596281788,0.521184102699422,0.801446487217312,0.890100052347297,FALSE
"Pre-growing season",17,"Storm",21,FALSE,FALSE,95.4412370040787,,0.330575098632498,0.116326070988478,0.94869786804361,5.54057586360019,FALSE
"Pre-growing season",17,"Agricultural",21,FALSE,FALSE,-87.8468537552615,,1.09809769757689e-14,0.345445854593431,0.999999999999999,5.4906979274349,FALSE
"Pre-growing season",17,"Site",21,FALSE,FALSE,96.2327594718068,,0.345310527188615,0.132845717473947,0.94017919897576,4.92849950671722,FALSE
